route_id,deployment,http_method,path,surface,controller_method,source,current_guard,current_target_predicate,canonical_action,target_accepted_principal_lanes,target_resolver,risk_tier,migration_mode,disposition,review_status,notes,required_sections
mvc:post:/api/v1/business-agent/agent-bundles/sync,NAVIGATOR_LAUNCHER,POST,/api/v1/business-agent/agent-bundles/sync,CLIENT_APP_CONTROL,BusinessAgentBundleController.syncAgentBundle,business-agent-module/src/main/java/com/foggy/navigator/business/agent/controller/BusinessAgentBundleController.java:21,Spring permitAll + X-Client-App-Control-Key validation + exact scope check,exact tenant+ClientApp from control credential + resource owner/grant checks (ClientAppControlCredentialService|controlCredentialService|requireAccess|required),agent-bundle.sync-agent-bundle,CLIENT_APP/CONTROL (exact tenant+ClientApp); INSTANCE_ROOT/CONTROL_ACCESS; SAAS_PLATFORM/CONTROL_ACCESS(SAAS_PROVISIONING) within exact upstream/tenant grant,EXACT_CLIENT_APP_AGENT_BUNDLE_OWNER_GRANT_RESOLVER[LIST_OR_BODY_TARGET],R2_SENSITIVE_READ_OR_MUTATION_OR_EXECUTION,LEGACY_ENFORCE,KEEP,STATIC_REVIEWED_HIGH_RISK,runtime credential is never accepted on this control surface,PRINCIPAL|CREDENTIAL|TRUST|TARGET|AUTHORITY|PLATFORM_GRANT|TENANT_AUTHORITY
mvc:post:/api/v1/business-agent/client-apps/{clientAppId}/e2e-model-config/ensure,NAVIGATOR_LAUNCHER,POST,/api/v1/business-agent/client-apps/{clientAppId}/e2e-model-config/ensure,CLIENT_APP_CONTROL,E2eModelConfigController.ensure,business-agent-module/src/main/java/com/foggy/navigator/business/agent/controller/E2eModelConfigController.java:20,Spring permitAll + X-Client-App-Control-Key validation + exact scope check,exact tenant+ClientApp from control credential + resource owner/grant checks (ClientAppControlCredentialService|controlCredentialService|requireAccess),client-app.e2e-model-config.ensure,CLIENT_APP/CONTROL (exact tenant+ClientApp); INSTANCE_ROOT/CONTROL_ACCESS; SAAS_PLATFORM/CONTROL_ACCESS(SAAS_PROVISIONING) within exact upstream/tenant grant,EXACT_CLIENT_APP_CLIENT_APP_E2E_MODEL_CONFIG_OWNER_GRANT_RESOLVER[clientAppId],R3_SECURITY_BOUNDARY_OR_DESTRUCTIVE,LEGACY_ENFORCE,KEEP,STATIC_REVIEWED_HIGH_RISK,runtime credential is never accepted on this control surface,PRINCIPAL|CREDENTIAL|TRUST|TARGET|AUTHORITY|PLATFORM_GRANT|TENANT_AUTHORITY
mvc:post:/api/v1/business-agent/client-apps/{clientAppId}/function-grants,NAVIGATOR_LAUNCHER,POST,/api/v1/business-agent/client-apps/{clientAppId}/function-grants,CLIENT_APP_CONTROL,BusinessFunctionRegistryController.grantFunctionToClientApp,business-agent-module/src/main/java/com/foggy/navigator/business/agent/controller/BusinessFunctionRegistryController.java:35,Spring permitAll + X-Client-App-Control-Key validation + exact scope check,exact tenant+ClientApp from control credential + resource owner/grant checks (ClientAppControlCredentialService|controlCredentialService|requireAccess),business-function.grant-function-to-client-app,CLIENT_APP/CONTROL (exact tenant+ClientApp); INSTANCE_ROOT/CONTROL_ACCESS; SAAS_PLATFORM/CONTROL_ACCESS(SAAS_PROVISIONING) within exact upstream/tenant grant,EXACT_CLIENT_APP_BUSINESS_FUNCTION_OWNER_GRANT_RESOLVER[clientAppId],R3_SECURITY_BOUNDARY_OR_DESTRUCTIVE,LEGACY_ENFORCE,KEEP,STATIC_REVIEWED_HIGH_RISK,runtime credential is never accepted on this control surface,PRINCIPAL|CREDENTIAL|TRUST|TARGET|AUTHORITY|PLATFORM_GRANT|TENANT_AUTHORITY
mvc:put:/api/v1/business-agent/client-apps/{clientAppId}/function-grants/{grantId}/status,NAVIGATOR_LAUNCHER,PUT,/api/v1/business-agent/client-apps/{clientAppId}/function-grants/{grantId}/status,CLIENT_APP_CONTROL,BusinessFunctionRegistryController.updateGrantStatus,business-agent-module/src/main/java/com/foggy/navigator/business/agent/controller/BusinessFunctionRegistryController.java:47,Spring permitAll + X-Client-App-Control-Key validation + exact scope check,exact tenant+ClientApp from control credential + resource owner/grant checks (ClientAppControlCredentialService|controlCredentialService|requireAccess|updateGrantStatus),business-function.update-grant-status,CLIENT_APP/CONTROL (exact tenant+ClientApp); INSTANCE_ROOT/CONTROL_ACCESS; SAAS_PLATFORM/CONTROL_ACCESS(SAAS_PROVISIONING) within exact upstream/tenant grant,EXACT_CLIENT_APP_BUSINESS_FUNCTION_OWNER_GRANT_RESOLVER[clientAppId|grantId],R3_SECURITY_BOUNDARY_OR_DESTRUCTIVE,LEGACY_ENFORCE,KEEP,STATIC_REVIEWED_HIGH_RISK,runtime credential is never accepted on this control surface,PRINCIPAL|CREDENTIAL|TRUST|TARGET|AUTHORITY|PLATFORM_GRANT|TENANT_AUTHORITY
mvc:get:/api/v1/business-agent/client-apps/{clientAppId}/upstream-routes,NAVIGATOR_LAUNCHER,GET,/api/v1/business-agent/client-apps/{clientAppId}/upstream-routes,CLIENT_APP_CONTROL,ClientAppUpstreamRouteController.listRoutes,business-agent-module/src/main/java/com/foggy/navigator/business/agent/controller/ClientAppUpstreamRouteController.java:23,Spring permitAll + X-Client-App-Control-Key validation + exact scope check,exact tenant+ClientApp from control credential + resource owner/grant checks (requireAccess),client-app.upstream-route.list-routes,CLIENT_APP/CONTROL (exact tenant+ClientApp); INSTANCE_ROOT/CONTROL_ACCESS; SAAS_PLATFORM/CONTROL_ACCESS(SAAS_PROVISIONING) within exact upstream/tenant grant,EXACT_CLIENT_APP_CLIENT_APP_UPSTREAM_ROUTE_OWNER_GRANT_RESOLVER[clientAppId],R1_SCOPED_READ,LEGACY_ENFORCE,KEEP,STATIC_REVIEWED,runtime credential is never accepted on this control surface,PRINCIPAL|CREDENTIAL|TRUST|TARGET|AUTHORITY|PLATFORM_GRANT|TENANT_AUTHORITY
mvc:put:/api/v1/business-agent/client-apps/{clientAppId}/upstream-routes/{upstreamRef},NAVIGATOR_LAUNCHER,PUT,/api/v1/business-agent/client-apps/{clientAppId}/upstream-routes/{upstreamRef},CLIENT_APP_CONTROL,ClientAppUpstreamRouteController.upsertRoute,business-agent-module/src/main/java/com/foggy/navigator/business/agent/controller/ClientAppUpstreamRouteController.java:30,Spring permitAll + X-Client-App-Control-Key validation + exact scope check,exact tenant+ClientApp from control credential + resource owner/grant checks (requireAccess),client-app.upstream-route.upsert-route,CLIENT_APP/CONTROL (exact tenant+ClientApp); INSTANCE_ROOT/CONTROL_ACCESS; SAAS_PLATFORM/CONTROL_ACCESS(SAAS_PROVISIONING) within exact upstream/tenant grant,EXACT_CLIENT_APP_CLIENT_APP_UPSTREAM_ROUTE_OWNER_GRANT_RESOLVER[clientAppId|upstreamRef],R3_SECURITY_BOUNDARY_OR_DESTRUCTIVE,LEGACY_ENFORCE,KEEP,STATIC_REVIEWED_HIGH_RISK,runtime credential is never accepted on this control surface,PRINCIPAL|CREDENTIAL|TRUST|TARGET|AUTHORITY|PLATFORM_GRANT|TENANT_AUTHORITY
mvc:put:/api/v1/business-agent/client-apps/{clientAppId}/upstream-routes/{upstreamRef}/status,NAVIGATOR_LAUNCHER,PUT,/api/v1/business-agent/client-apps/{clientAppId}/upstream-routes/{upstreamRef}/status,CLIENT_APP_CONTROL,ClientAppUpstreamRouteController.updateStatus,business-agent-module/src/main/java/com/foggy/navigator/business/agent/controller/ClientAppUpstreamRouteController.java:40,Spring permitAll + X-Client-App-Control-Key validation + exact scope check,exact tenant+ClientApp from control credential + resource owner/grant checks (requireAccess),client-app.upstream-route.update-status,CLIENT_APP/CONTROL (exact tenant+ClientApp); INSTANCE_ROOT/CONTROL_ACCESS; SAAS_PLATFORM/CONTROL_ACCESS(SAAS_PROVISIONING) within exact upstream/tenant grant,EXACT_CLIENT_APP_CLIENT_APP_UPSTREAM_ROUTE_OWNER_GRANT_RESOLVER[clientAppId|upstreamRef],R3_SECURITY_BOUNDARY_OR_DESTRUCTIVE,LEGACY_ENFORCE,KEEP,STATIC_REVIEWED_HIGH_RISK,runtime credential is never accepted on this control surface,PRINCIPAL|CREDENTIAL|TRUST|TARGET|AUTHORITY|PLATFORM_GRANT|TENANT_AUTHORITY
mvc:post:/api/v1/business-agent/client-apps/{clientAppId}/upstream-users,NAVIGATOR_LAUNCHER,POST,/api/v1/business-agent/client-apps/{clientAppId}/upstream-users,CLIENT_APP_CONTROL,ClientAppUserGrantController.grantUpstreamUserAccess,business-agent-module/src/main/java/com/foggy/navigator/business/agent/controller/ClientAppUserGrantController.java:20,Spring permitAll + X-Client-App-Control-Key validation + exact scope check,exact tenant+ClientApp from control credential + resource owner/grant checks (ClientAppControlCredentialService|clientAppUserGrantService|controlCredentialService|grantUpstreamUserAccess|requireAccess),client-app.upstream-user-grant.grant-upstream-user-access,CLIENT_APP/CONTROL (exact tenant+ClientApp); INSTANCE_ROOT/CONTROL_ACCESS; SAAS_PLATFORM/CONTROL_ACCESS(SAAS_PROVISIONING) within exact upstream/tenant grant,EXACT_CLIENT_APP_CLIENT_APP_UPSTREAM_USER_GRANT_OWNER_GRANT_RESOLVER[clientAppId],R3_SECURITY_BOUNDARY_OR_DESTRUCTIVE,LEGACY_ENFORCE,KEEP,STATIC_REVIEWED_HIGH_RISK,runtime credential is never accepted on this control surface,PRINCIPAL|CREDENTIAL|TRUST|TARGET|AUTHORITY|PLATFORM_GRANT|TENANT_AUTHORITY
mvc:put:/api/v1/business-agent/client-apps/{clientAppId}/upstream-users/{upstreamUserId}/status,NAVIGATOR_LAUNCHER,PUT,/api/v1/business-agent/client-apps/{clientAppId}/upstream-users/{upstreamUserId}/status,CLIENT_APP_CONTROL,ClientAppUserGrantController.updateUpstreamUserGrantStatus,business-agent-module/src/main/java/com/foggy/navigator/business/agent/controller/ClientAppUserGrantController.java:31,Spring permitAll + X-Client-App-Control-Key validation + exact scope check,exact tenant+ClientApp from control credential + resource owner/grant checks (ClientAppControlCredentialService|clientAppUserGrantService|controlCredentialService|requireAccess|updateUpstreamUserGrantStatus),client-app.upstream-user-grant.update-upstream-user-grant-status,CLIENT_APP/CONTROL (exact tenant+ClientApp); INSTANCE_ROOT/CONTROL_ACCESS; SAAS_PLATFORM/CONTROL_ACCESS(SAAS_PROVISIONING) within exact upstream/tenant grant,EXACT_CLIENT_APP_CLIENT_APP_UPSTREAM_USER_GRANT_OWNER_GRANT_RESOLVER[clientAppId|upstreamUserId],R3_SECURITY_BOUNDARY_OR_DESTRUCTIVE,LEGACY_ENFORCE,KEEP,STATIC_REVIEWED_HIGH_RISK,runtime credential is never accepted on this control surface,PRINCIPAL|CREDENTIAL|TRUST|TARGET|AUTHORITY|PLATFORM_GRANT|TENANT_AUTHORITY
mvc:get:/api/v1/business-agent/client-apps/{clientAppId}/visible-functions,NAVIGATOR_LAUNCHER,GET,/api/v1/business-agent/client-apps/{clientAppId}/visible-functions,CLIENT_APP_CONTROL,BusinessFunctionRegistryController.listClientAppVisibleFunctionSummaries,business-agent-module/src/main/java/com/foggy/navigator/business/agent/controller/BusinessFunctionRegistryController.java:58,Spring permitAll + X-Client-App-Control-Key validation + exact scope check,exact tenant+ClientApp from control credential + resource owner/grant checks (ClientAppControlCredentialService|controlCredentialService|requireAccess),business-function.list-client-app-visible-function-summaries,CLIENT_APP/CONTROL (exact tenant+ClientApp); INSTANCE_ROOT/CONTROL_ACCESS; SAAS_PLATFORM/CONTROL_ACCESS(SAAS_PROVISIONING) within exact upstream/tenant grant,EXACT_CLIENT_APP_BUSINESS_FUNCTION_OWNER_GRANT_RESOLVER[clientAppId],R1_SCOPED_READ,LEGACY_ENFORCE,KEEP,STATIC_REVIEWED,runtime credential is never accepted on this control surface,PRINCIPAL|CREDENTIAL|TRUST|TARGET|AUTHORITY|PLATFORM_GRANT|TENANT_AUTHORITY
